procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 7304244 1859320 9714040    0    0   345   263  109   70 16  8 75  1  0
 0  0      0 7289636 1859320 9762816    0    0 48820     4 16458 26465 24 11 65  0  0
 2  0      0 7271620 1859320 9781128    0    0 18208     4 10856 18595 18  8 75  0  0
 0  0      0 7436396 1859320 9614700    0    0 39640     4 14860 23811 25  9 66  0  0
 0  0      0 7436152 1859320 9614700    0    0     0    48 7836 13901 16  4 80  0  0
 0  0      0 7403312 1859320 9631420    0    0 17144   576 10976 19976 20  8 69  3  0
 0  0      0 7352992 1859320 9664804    0    0 33112    92 14095 22889 22 11 67  0  0
 0  0      0 7307716 1859320 9730880    0    0 66304     4 18575 28823 29 13 57  1  0
 9  0      0 7228676 1859320 9807508    0    0 76404     4 19147 30792 30 10 59  1  0
 3  0      0 7413908 1859320 9614712    0    0 13052   624 12395 20088 21 10 69  1  0
 1  0      0 7415076 1859320 9614712    0    0     0    12 8583 15036 16  7 77  0  0
 1  0      0 7414824 1859320 9614740    0    0    28     8 8179 14175 16  7 77  0  0
 0  0      0 7414792 1859320 9614740    0    0     0     4 6433 11515 14  4 81  0  0
 1  0      0 7414792 1859320 9614740    0    0     0     4 6365 11130 14  5 80  0  0
 1  0      0 7477516 1859320 9600388    0    0     4  1744 8023 14250 22 13 64  2  0
 2  0      0 7463356 1859320 9600096    0    0     0   452 9949 17725 27 10 62  1  0
 2  0      0 7431008 1859320 9614632    0    0 14780   500 9050 16040 20  8 70  1  0
 3  0      0 7389512 1859320 9661764    0    0 47248    40 16965 26989 28 10 61  1  0
 3  1      0 7368040 1859320 9725640    0    0 63944     4 18250 28277 28 11 60  1  0
 2  0      0 7299804 1859320 9781280    0    0 55704   228 20750 33116 36 14 50  1  0
 0  0      0 7486224 1859320 9600444    0    0 24676     4 16054 27357 25  9 66  0  0
 0  0      0 7486292 1859320 9600380    0    0     0   216 7838 14004 15  4 81  1  0
 1  0      0 7452228 1859320 9617228    0    0 17144   412 9373 15704 20  7 72  1  0
 2  0      0 7419932 1859320 9665780    0    0 48628     4 13601 21395 37 11 52  0  0
 4  0      0 7354060 1859320 9730188    0    0 64292   132 19760 30646 32 12 56  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 7279560 1859320 9788100    0    0 57968   124 17444 26644 27 12 60  1  0
 0  0      0 7467120 1859320 9600348    0    0 17976    28 9860 15922 18  7 75  0  0
 0  0      0 7450832 1859320 9600352    0    0     0     4 5748 10032 15  4 81  0  0
 3  0      0 7412420 1859320 9622780    0    0 22768   528 10181 16589 22  8 68  2  0
 0  0      0 7430924 1859320 9668120    0    0 44860     4 15532 23831 22 10 68  0  0
15  0      0 7375560 1859320 9718468    0    0 50576  2444 17739 28636 34 16 48  3  0
 4  0      0 7338792 1859320 9748696    0    0 29956   348 13394 23848 55 25 19  0  0
 4  0      0 7320304 1859320 9771252    0    0 22696   136 11322 18967 22  8 70  0  0
 2  0      0 7454064 1859320 9600648    0    0 35152    96 15019 24751 27 11 62  1  0
 1  0      0 7453196 1859320 9601144    0    0   496     4 7449 12763 16  6 78  0  0
 0  0      0 7453372 1859320 9601144    0    0     0     4 6329 10934 14  6 80  0  0
 4  0      0 7454128 1859320 9601144    0    0     0    12 17238 30740 56 19 26  0  0
 7  0      0 7423356 1859320 9617932    0    0 17144  1068 17719 33125 46 20 33  1  0
 1  0      0 7386920 1859320 9651468    0    0 37680    76 13112 21031 27 14 59  0  0
 6  0      0 7299076 1859320 9711476    0    0 60304     4 16903 27242 31 13 56  1  0
12  0      0 7246332 1859320 9782132    0    0 70772     4 22071 37103 36 19 45  1  0
10  0      0 7450004 1859320 9601184    0    0 24676    12 31059 65207 37 28 35  0  0
 2  0      0 7417580 1859320 9601188    0    0    92    44 17981 37467 31 17 52  0  0
20  0      0 7408320 1859320 9601280    0    0   104   416 15960 33189 32 17 51  0  0
 9  0      0 7341464 1859320 9651060    0    0 50152     4 24772 68550 49 30 21  1  0
10  0      0 7337404 1859320 9692576    0    0 41252   288 23391 44442 30 21 48  0  0
 1  0      0 7264860 1859320 9749280    0    0 56652   292 20153 33017 34 13 51  1  0
 1  1      0 7411656 1859320 9601252    0    0 57848    72 19265 31409 26 14 60  1  0
10  0      0 7319104 1859320 9601396    0    0     0  3628 11310 20289 44 22 32  3  0
 1  0      0 7423284 1859320 9601436    0    0     0   160 15000 27303 25 11 64  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 7409764 1859320 9601436    0    0     0   132 10320 18114 17  8 75  0  0
 3  0      0 7415772 1859320 9601440    0    0     0   316 9849 17207 17  7 76  0  0
 6  0      0 7377652 1859320 9627472    0    0 26284   484 13388 22726 20  9 71  0  0
 3  0      0 7321232 1859320 9700660    0    0 73056     4 19146 29803 31 12 57  1  0
 2  0      0 7262480 1859320 9765980    0    0 64988    56 19453 29224 29 14 57  1  0
c 1  0      0 7425448 1859320 9601780    0    0 41680   280 13778 22077 22  9 67  2  0
 2  0      0 7425596 1859320 9601532    0    0     0     4 6192 10823 15  4 81  0  0
